sku,national_inv,lead_time,in_transit_qty,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,went_on_backorder
1129009,-3,12,0,0,78,0,0.62,0.73,3,Yes
1129150,267,8,10,21,78,0,0.69,0.68,0,No
1129151,10,2,0,2,78,0,0,0.09,0,Yes
1129211,14,2,0,0,78,0,0.9,0.88,0,No
1129212,0,2,0,0,78,0,0.31,0.34,0,Yes
1129213,4,2,0,0,78,0,0.78,0.82,0,No
1129443,0,9,0,0,78,0,0.69,0.68,0,No
1129444,3,8,0,2,78,0,0.06,0.5,0,Yes
1129445,18,8,0,0,78,0,0.48,0.39,0,No
1129575,0,2,0,0,78,0,0.42,0.41,0,No
1129576,0,12,0,0,78,0,0.62,0.73,0,Yes
1129956,107,8,18,60,78,0,1,0.99,0,No
1129957,0,2,0,1,78,0,0.33,0.25,0,Yes
1129998,42,8,0,0,78,0,0.34,0.57,0,No
1129999,1,12,0,0,78,0,0.82,0.79,0,Yes
1130000,2,8,0,1,78,0,0.75,0.74,0,No
1130077,859,8,9,86,78,0,0.96,0.83,0,No
1130078,2,9,0,3,78,0,0.96,0.92,0,Yes
1130079,228,8,0,46,78,0,0.98,0.99,0,No
1130086,44,0,1,62,78,0,0,0,0,Yes
1130092,13,8,2,3,78,0,0.87,0.71,0,No
1130093,5,8,0,2,78,0,1,0.99,0,Yes
1130094,443,2,135,195,78,0,0.99,0.97,0,No
1130229,13,12,0,1,78,0,0.87,0.59,0,No
1130230,128,8,0,73,78,0,0.99,0.98,4,Yes
1130285,4,8,0,1,78,0,0.8,0.92,0,No
1130286,19,8,0,3,78,0,0.99,0.97,0,Yes
1130373,176,2,0,0,78,0,0.97,0.86,0,No
1130374,0,2,0,0,78,0,0.43,0.19,0,Yes
1130487,197,12,8,34,78,0,0.97,0.98,0,No
1130488,3,3,0,0,78,0,0.89,0.9,0,Yes
1130489,3,8,0,0,78,0,1,1,0,No
1130837,5,8,0,0,78,0,0.64,0.69,0,No
1130838,-62,8,0,53,78,0,0.74,0.79,0,Yes
1130839,241,8,0,0,78,0,1,0.8,0,No
1131052,71,2,40,99,78,0,0.95,0.95,0,No
1131053,0,12,0,0,78,0,0.73,0.69,0,Yes
1131054,4,8,1,1,78,0,0.87,0.9,0,No
1131297,14,2,0,5,78,0,0.79,0.83,0,Yes
1131298,9710,2,0,205,78,0,0,0,0,No
1131346,38,12,0,0,78,0,0.86,0.89,0,No
1131347,0,8,0,2,78,0,0.99,0.99,0,Yes
1131348,11,2,0,0,78,0,0.66,0.6,0,No
1131438,7,2,0,0,78,0,0.98,0.96,0,No
1131439,16,2,0,16,78,0,0.92,0.75,1,Yes
1131519,16,8,0,0,78,0,0.42,0.46,0,No
1131520,0,2,0,11,78,0,0.1,0.04,3,Yes
1131711,17,4,0,10,78,0,0.82,0.91,0,Yes
1131712,179,8,21,14,78,0,-99,-99,0,No
1131802,1122,8,559,570,78,0,0.79,0.66,0,No
1131803,26,2,0,2,78,0,0.99,0.99,0,Yes
1131804,6,12,0,0,78,0,0.82,0.79,0,No
1131808,14,9,9,7,78,0,0.91,0.74,0,No
1131809,5,8,0,0,78,0,1,1,0,Yes
1131810,10,12,0,1,78,0,0.63,0.63,0,No
1131895,4,8,0,0,78,0,0.77,0.78,0,No
1131896,3,8,0,3,78,0,0.9,0.92,0,Yes
1131897,17,8,9,0,78,0,0.7,0.64,0,No
1131922,7,2,0,1,78,0,0.79,0.83,0,Yes
1131923,30,2,201,22,78,0,0.35,0.73,0,No
1131931,6,3,0,0,78,0,0.89,0.9,0,No
1131932,23,2,0,0,89,6,0.96,0.83,0,Yes
1131933,3,2,0,0,78,0,0.5,0.83,0,No
1131979,73,12,0,1,78,0,0.69,0.68,0,No
1131980,324,8,225,294,78,0,0.89,0.93,0,Yes
1132098,190,2,9,60,78,0,1,0.73,0,No
1132099,11,2,10,14,78,0,0.75,0.74,0,Yes
1132100,123,2,8,48,78,0,0.95,0.95,0,No
1132205,2270,8,0,71,78,0,0.98,0.99,0,No
1132206,0,8,0,3,78,0,1,0.85,0,Yes
1132207,799,8,714,348,78,0,0.99,0.98,0,No
1132392,12,8,0,5,78,0,0.79,0.76,0,Yes
1132393,3,8,0,12,78,0,0.84,0.78,0,No
1132417,54,8,7,70,78,0,0.94,0.86,0,Yes
1132477,185,8,58,106,78,0,0.92,0.79,0,No
1132478,275,8,152,169,78,0,0.25,0.39,0,Yes
1132559,15,8,0,18,78,0,0.92,0.79,0,Yes
1132560,68,12,9,11,78,0,0.98,0.96,0,No
1132845,18,2,0,0,78,0,0.78,0.82,0,No
1132846,0,12,0,0,78,0,0.62,0.73,0,Yes
1133175,1492,8,770,937,78,0,0.12,0.65,0,No
1133176,0,4,0,0,78,0,0.77,0.8,0,Yes
1133177,11,9,0,16,78,0,0.85,0.83,0,No
1133208,2,12,0,2,78,0,0.82,0.79,0,No
1133209,12,2,0,0,78,0,0.98,0.95,0,Yes
1133210,5,2,0,0,78,0,0.44,0.43,0,No
1133223,4,2,0,0,78,0,0.98,0.95,0,No
1133224,19,12,20,21,78,0,0.82,0.79,0,Yes
1133281,110,2,0,0,78,0,0.99,0.99,0,No
1133282,-3,8,255,276,78,0,0.84,0.91,15,Yes
1133283,854,8,209,560,78,0,1,0.87,0,No
1133306,163,2,0,15,78,0,0.99,0.99,0,No
1133307,3,8,0,0,78,0,0.51,0.75,0,Yes
1133384,3,4,0,0,78,0,0.77,0.8,0,No
1133385,2,8,0,1,78,0,0.52,0.78,0,Yes
1133386,28,2,0,1,78,0,0.33,0.37,0,No
1133469,2,10,0,0,78,0,0.89,0.9,0,No
1133470,0,9,0,0,78,0,0.86,0.69,0,Yes
1133471,0,2,0,0,78,0,1,0.99,0,No
1133602,548,2,232,226,78,0,1,0.99,0,No
1133603,2,8,0,10,78,0,1,0.98,0,Yes
1133604,21,8,0,0,78,0,0.81,0.89,0,No
1133621,0,8,0,0,78,0,0.89,0.9,0,No
1133622,1,8,0,0,78,0,0.7,0.74,0,Yes
1133623,177,8,0,49,78,0,0.97,0.96,0,No
1133658,14,8,0,6,78,0,1,1,0,No
1133659,1,3,0,2,78,0,1,0.99,0,Yes
1133753,10,12,0,37,78,0,0.82,0.79,0,Yes
1133754,7,8,0,0,78,0,0.6,0.54,0,No
1133821,78,4,0,0,78,0,0.82,0.78,0,No
1133822,0,12,0,0,78,0,0.82,0.79,0,Yes
1133939,7,8,0,0,78,0,1,1,0,No
1133940,5,8,0,2,78,0,0.99,0.98,0,Yes
1133941,60,8,0,14,78,0,1,1,0,No
1133950,23,8,25,12,78,0,1,0.98,0,No
1133951,4,9,2,0,78,0,0.85,0.83,0,Yes
1133952,690,16,153,239,78,0,0.99,0.99,0,No
1134083,7,9,0,0,78,0,0.91,0.74,0,No
1134085,13,2,0,2,78,0,0.73,0.57,0,No
1134089,4,12,0,7,78,0,0.82,0.79,0,No
1134090,1,8,0,1,78,0,0.46,0.35,0,Yes
1134091,28,8,0,1,78,0,0.46,0.35,0,No
1134254,1,9,0,0,78,0,0.99,0.98,0,No
1134255,3,8,0,3,78,0,0.82,0.87,0,Yes
1134286,6,8,0,0,78,0,0.24,0.47,0,No
1134287,13,8,3,42,78,28,0.64,0.67,0,Yes
1134288,488,16,0,17,78,0,0.77,0.59,0,No
1134289,2,8,0,0,78,0,0.99,0.99,0,Yes
1134290,9,10,0,0,78,0,0.83,0.75,0,No
1134316,45,8,55,92,78,2,0.89,0.93,15,Yes
1134317,90,12,0,0,78,0,0.64,0.69,0,No
1134383,-66,8,67,157,78,0,0.77,0.68,81,Yes
1134384,37,8,0,0,78,0,0.9,0.92,0,No
1134435,13,12,0,0,78,0,0.82,0.79,0,No
1134436,4,8,0,0,78,0,0.78,0.82,0,Yes
1134437,9,12,0,0,78,0,0.82,0.79,0,No
1134521,2,2,0,0,78,0,0.99,0.97,0,Yes
1134522,124,8,0,12,78,0,0.28,0.57,0,No
1134557,2,2,10,4,78,0,0.98,0.97,0,Yes
1134558,10864,8,56,1192,78,0,0.8,0.9,0,No
1134881,0,2,0,0,78,0,0.9,0.88,0,Yes
1134882,0,2,0,7,78,0,0.74,0.83,0,No
1134920,12,9,0,0,78,0,0.85,0.83,0,No
1134921,0,8,0,0,78,0,0.15,0.34,0,Yes
1134922,6,9,0,0,78,0,0.85,0.83,0,No
1134974,5680,4,0,170,78,0,0.77,0.8,0,No
1134975,1,2,4,0,78,0,0.75,0.89,0,Yes
1135001,9,12,0,0,78,0,1,1,0,No
1135002,17,2,0,31,89,10,0.62,0.69,0,Yes
1135003,651,4,477,121,78,80,0.77,0.8,0,No
1135136,3,12,0,0,78,0,0.82,0.79,0,No
1135137,22,15,0,43,78,0,0.93,0.91,0,Yes
1135138,9,8,250,0,78,0,0.9,0.93,0,No
1135207,1,4,29,0,78,0,0.77,0.8,0,No
1135208,21,8,0,0,78,0,0.99,0.97,0,Yes
1135209,4,8,0,0,78,0,0.79,0.66,0,No
1135384,2,9,0,0,78,0,0.69,0.68,0,No
1135385,2,12,0,1,78,0,0.93,0.96,0,Yes
1135386,2,12,0,0,78,0,0.08,0.13,0,No
1135555,2,8,1,0,78,0,0.48,0.53,0,No
1135556,3,8,0,1,78,0,0.97,0.95,0,Yes
1135557,1,4,1,1,78,0,0.22,0.11,0,No
1135586,25,8,0,0,78,0,0.82,0.87,0,No
1135587,111,2,104,92,78,0,0.1,0.04,0,Yes
1135588,547,8,0,3,78,0,0.94,0.97,0,No
1135657,3,52,0,0,78,0,0.7,0.75,0,No
1135658,3,4,0,0,78,0,0.96,0.83,0,Yes
1135659,1,8,0,1,78,0,0.96,0.97,0,No
1135698,3,4,0,0,78,0,0.77,0.8,0,No
1135699,3,2,0,1,78,0,0.99,0.9,0,Yes
1135700,76,3,23,23,78,0,0.69,0.68,0,No
1135780,533,8,221,257,78,61,0.77,0.82,0,No
1135781,-4,8,0,0,78,0,0.96,0.83,4,Yes
1135782,3412,6,0,3,78,0,0.58,0.68,0,No
1135857,4,2,0,0,78,0,1,0.99,0,No
1135858,6,8,0,0,78,0,0.96,0.97,0,Yes
1135859,8,8,0,6,78,0,0.75,0.81,0,No
1135873,15,9,0,0,78,0,0.96,0.92,0,No
1135874,12,8,3,0,78,0,0.84,0.48,0,No
1135875,17,12,16,36,78,4,0.62,0.73,0,Yes
1135876,42,8,15,4,78,0,0.98,0.84,0,No
1135904,61,8,1,2,78,0,0.95,0.9,0,No
1135905,5,8,0,4,78,0,0.99,0.87,0,Yes
1135906,18,8,12,2,78,0,1,1,0,No
1135984,20580,8,4,66,78,0,1,0.73,1,No
1135985,0,2,0,17,78,0,0.99,0.95,0,Yes
1135986,0,12,0,45,78,0,0.21,0.27,0,No
1135987,76,9,0,0,78,0,0.91,0.74,0,No
1135988,0,8,0,0,78,0,0,0,20,Yes
1136095,4,12,0,0,78,0,0.82,0.79,0,No
1136096,1,8,0,0,78,0,1,0.97,0,Yes
1136097,7,8,0,0,78,0,0.95,0.97,0,No
1136115,12,8,0,0,78,0,1,0.99,0,No
1136116,1,8,0,0,78,0,0.79,0.86,0,Yes
1136174,604,8,0,1,78,0,0.92,0.95,0,No
1136175,45,8,0,0,78,0,0.48,0.53,0,Yes
1136176,15,6,0,0,78,0,0.79,0.66,0,No
1136224,18,2,19,0,78,0,0.75,0.74,0,No
1136225,0,2,0,1,78,0,0.46,0.35,0,Yes
1136226,0,2,0,0,78,0,0.87,0.71,0,No
1136227,0,2,0,0,78,0,0.96,0.86,0,No
1136229,1,2,0,0,78,0,0.75,0.74,0,No
1136476,651,8,212,239,78,0,0.96,0.97,0,No
1136478,0,2,0,0,78,0,0.62,0.69,0,No
1136479,15,2,0,0,78,0,0.89,0.82,0,No
1136480,4,2,0,0,78,0,0.79,0.89,0,No
1136481,0,2,0,0,78,0,0.9,0.94,0,Yes
1136482,2,8,0,0,78,0,0.89,0.88,0,No
1136491,140,8,0,47,78,0,0.95,0.97,0,No
1136492,1,8,0,0,78,0,0.46,0.35,0,Yes
1136493,85,12,0,1,78,0,0.11,0.07,0,No
1136616,11,2,0,0,78,0,0.99,0.98,0,No
1136617,1,2,0,0,78,0,0.78,0.82,0,Yes
1136618,2,4,0,0,78,0,0.89,0.9,0,No
1136656,99,9,0,0,78,0,0.99,0.99,0,No
1136657,1,8,0,1,78,0,0.89,0.9,0,Yes
1136701,1390,9,316,173,78,0,0.91,0.74,0,No
1136702,0,8,0,0,78,0,0.95,0.97,0,Yes
1136795,0,2,2,1,78,0,0.16,0.44,0,No
1136796,0,2,0,0,78,20,0.26,0.32,0,Yes
1136797,7,9,0,0,78,0,0.92,0.76,0,No
1136816,335,8,0,0,78,0,0,0,0,No
1136817,0,9,0,0,78,0,0.85,0.83,0,Yes
1136818,8,9,0,0,78,0,0.85,0.83,0,No
1137079,0,8,0,0,78,0,0.15,0.34,0,Yes
1137080,649,9,10,31,78,0,0.91,0.74,0,No
1137106,1,2,0,0,78,0,0.66,0.6,0,No
1137107,-13,8,53,107,78,0,0.3,0.32,25,Yes
1137108,3874,2,781,1570,78,0,0.91,0.9,0,No
1137142,20,2,0,0,78,0,0.66,0.6,0,No
1137143,6,8,0,2,78,0,0.6,0.57,0,Yes
1137144,37,12,0,0,78,0,0.93,0.94,0,No
1137255,2,2,0,0,78,0,0.98,0.97,0,No
1137256,0,2,0,67,78,0,0.69,0.68,0,Yes
1137257,6,8,0,0,78,0,0.79,0.66,0,No
1137297,0,16,0,0,78,0,0.44,0.46,0,No
1137298,7,2,0,2,78,0,0.99,0.9,0,Yes
1137303,366,8,7,26,78,0,0.81,0.9,0,No
1137304,109,12,0,1,78,0,0.98,0.98,0,No
1137305,0,8,0,0,78,0,0.83,0.71,0,Yes
1137306,51,8,3,21,78,0,0.75,0.86,0,No
1137307,44,2,0,0,78,0,0.26,0.32,0,No
1137308,31,8,0,0,78,0,0.99,0.94,0,No
1137371,3,8,0,0,78,0,0.82,0.78,0,No
1137372,2,8,0,3,78,0,0.92,0.95,0,Yes
1137373,30,8,0,0,78,0,0.73,0.82,0,No
1137428,2,8,0,1,78,0,0.96,0.97,0,No
1137429,1,8,0,0,78,0,1,0.94,0,Yes
1137430,6711,8,0,3,78,0,0.45,0.53,0,No
1137496,0,8,0,0,78,0,1,0.99,0,No
1137447,1,2,0,4,78,0,0.99,0.99,0,Yes
1137456,9300,8,0,105,78,0,-99,-99,0,No
1137457,12,8,0,1,78,0,0.74,0.76,0,Yes
1137458,2532,8,12,140,78,0,0.83,0.72,0,No
1137695,5,12,0,0,78,0,0.62,0.73,0,No
1137696,4,8,0,0,78,0,0.99,0.98,0,Yes
1137697,2,8,0,0,78,0,0.99,0.98,0,No
1137706,180,2,64,76,78,0,0.91,0.95,0,No
1137707,3,9,0,5,78,0,0.69,0.68,0,Yes
1138070,0,8,0,3,78,0,0.64,0.63,0,Yes
1138071,40,8,0,0,78,0,0.64,0.8,0,No
1138224,18,8,6,21,78,0,0.91,0.92,0,No
1138225,5,4,0,1,78,0,0.89,0.9,0,Yes
1138226,12,8,0,0,78,0,0.77,0.91,0,No
1138290,11,8,0,0,78,0,0.99,0.94,0,No
1138291,11,8,0,2,78,0,0.95,0.95,0,Yes
1138292,15,2,40,0,78,0,0.99,0.98,0,No
1138316,0,12,0,0,78,0,0.82,0.79,0,Yes
1138317,102,9,0,12,78,0,0.91,0.74,0,No
1138477,3,4,0,0,78,0,0.84,0.9,0,No
1138478,6,2,0,0,78,0,0.92,0.97,0,Yes
1138479,15,2,0,0,78,0,0.86,0.91,0,No
1138665,31,8,0,0,78,0,-99,-99,0,No
1138666,1,8,0,0,78,0,0.15,0.34,0,Yes
1138667,48,9,0,3,78,0,0.91,0.74,0,No
1138838,2,9,0,0,78,0,0.34,0.41,0,No
1138839,0,12,0,0,78,0,0.48,0.39,0,Yes
1138879,11,2,0,1,78,0,0.74,0.76,0,No
1138880,4,8,0,22,78,0,0,0.5,0,Yes
1138881,296,8,2,137,78,0,0.87,0.84,0,No
1138897,24,8,0,0,78,0,0.93,0.74,0,No
1138898,69,8,0,21,78,0,1,0.99,0,Yes
1138899,276,8,18,72,78,0,0,0,0,No
1139067,176,14,23,28,78,0,1,0.95,0,No
1139068,2,8,0,0,78,0,0.79,0.66,0,Yes
1139069,8,14,0,2,78,0,0.99,0.99,0,No
1139152,10,12,0,1,78,0,0.63,0.63,0,No
1139153,-36,12,1,45,78,11,0.88,0.85,40,Yes
1139291,6,12,0,0,78,0,0.87,0.59,0,Yes
1139292,4,2,1,0,78,0,0.99,0.99,0,No
1139302,15118,12,801,6681,78,0,0.98,0.89,0,No
1139303,35,8,0,87,78,21,0.81,0.89,1,Yes
1139328,10322,8,0,1,78,0,1,1,0,No
1139329,22,12,0,60,78,20,0.43,0.45,0,Yes
1139330,128,2,43,61,78,0,0.99,0.99,1,No
1139460,23,4,0,3,78,0,0.89,0.79,0,No
1139461,7,8,9,67,78,0,0.81,0.88,2,Yes
1139462,9,2,0,1,78,0,0.66,0.68,0,No
1139579,278,2,228,43,78,0,0.91,0.9,0,No
1139581,9,2,0,0,78,0,0.98,0.97,0,Yes
1139582,11,8,37,12,78,0,0.75,0.74,0,No
1139716,0,3,0,91,78,0,0.49,0.72,1,Yes
1139717,0,3,0,4,78,0,0.99,0.99,0,No
1139800,126,8,1,5,78,0,0.96,0.96,0,No
1139801,3,8,0,0,78,0,0.57,0.48,0,Yes
1139802,110,8,6,44,78,0,0.06,0.13,0,No
1140074,28,2,0,20,78,0,0.87,0.69,0,No
1140075,3,8,0,0,78,0,0.98,0.95,0,No
1140076,8,8,4,58,78,0,0.45,0.69,3,Yes
1140077,0,8,0,0,78,0,0.79,0.61,0,No
1140109,22,8,0,0,78,0,0.48,0.39,0,No
1140110,0,3,0,0,78,0,0.89,0.9,0,Yes
1140111,1836,8,0,0,78,0,0.56,0.74,0,No
1140246,16,2,0,0,78,0,1,0.99,0,No
1140247,-1,8,0,0,78,0,0.9,0.88,1,Yes
1140255,54,2,0,0,78,0,0.79,0.78,0,No
1140256,94,8,0,0,78,0,0.82,0.89,0,Yes
1140257,64,2,0,0,78,0,0.98,0.98,0,No
1140777,10,12,0,1,78,0,0.77,0.78,0,No
1140778,0,2,0,1,78,0,0.79,0.78,0,Yes
1140779,10,12,0,1,78,0,0.63,0.63,0,No
1140850,4,12,0,0,78,0,0.69,0.68,0,Yes
1140851,724,8,0,3,78,0,-99,-99,0,No
1140921,53,4,77,0,78,0,0.77,0.8,0,No
1140922,0,8,0,1,78,0,0.59,0.59,0,Yes
1140923,16,52,0,1,78,0,0,0,0,No
1141086,0,2,0,0,78,0,0.96,0.97,0,No
1141088,-28,9,0,24,78,0,0.69,0.68,28,Yes
1141089,156,8,1,78,78,0,0.66,0.72,0,No
1141234,9,2,0,1,78,0,0.77,0.88,0,No
1141235,0,8,0,0,78,0,0.98,0.95,0,Yes
1141236,136,8,0,16,78,0,1,0.99,0,No
1141900,0,2,0,0,78,0,0.75,0.74,0,Yes
1142089,55,4,6,0,78,0,0.22,0.11,0,No
1142090,56,8,21,231,78,0,0.32,0.15,16,Yes
1142091,439,8,98,159,78,0,0.98,0.98,0,No
1142198,9,2,3,2,78,0,0.59,0.59,0,Yes
1142199,3,12,0,0,78,0,0.82,0.79,0,No
1142200,12,2,0,0,78,0,0.99,0.96,0,No
1142201,9,2,0,0,78,0,0.91,0.82,0,No
1142202,63,12,0,0,78,0,0.62,0.73,0,No
1142203,0,8,0,0,78,2,0.1,0.13,0,Yes
1142204,44,2,0,0,78,0,0.93,0.91,0,No
1142312,3,8,0,1,78,0,0.96,0.96,0,No
1142313,2,8,0,26,78,0,0.95,0.95,0,Yes
1142314,12,2,0,1,78,0,0.53,0.52,0,No
1142315,3,8,0,0,78,0,0.7,0.64,0,Yes
1142411,12,2,0,0,78,0,0.3,0.35,0,Yes
1142412,0,2,0,0,78,0,0.78,0.82,0,No
1142491,99,8,0,0,78,0,0.99,0.97,0,No
1142492,1,8,0,4,78,0,0.76,0.88,0,Yes
1142493,7,8,0,1,78,0,0.42,0.41,0,No
1142650,34,8,0,2,78,0,0.89,0.9,0,No
1142651,10,2,1,0,78,2,0.69,0.68,0,Yes
1142652,2,12,0,0,78,0,0.62,0.73,0,No
1142922,47,8,0,0,78,0,0.93,0.91,0,No
1142923,0,3,0,15,78,0,0.42,0.46,0,Yes
1142924,224,8,42,107,78,0,0.84,0.9,0,No
1143014,3,8,0,0,78,0,0.99,0.98,0,No
1143015,4,8,0,0,78,0,0.92,0.75,0,Yes
1143016,55,8,0,7,78,0,0.76,0.84,0,No
1143182,-11,8,63,55,78,0,0.97,0.92,37,No
1143183,0,8,0,0,78,0,0.48,0.53,0,Yes
1143206,25,2,0,4,78,0,0.97,0.8,0,No
1143207,9,8,0,0,78,0,1,0.92,0,Yes
1143208,200,2,0,0,78,0,1,0.33,0,No
1143239,175,12,0,0,78,0,0.93,0.88,0,No
1143240,17,8,0,25,78,0,0.6,0.57,0,Yes
1143241,9,4,0,3,78,0,0.89,0.9,0,No
1144024,13,8,0,0,78,0,0.96,0.96,0,Yes
1144025,1,8,0,0,78,0,0.89,0.88,0,No
1144260,0,2,0,1,78,0,0.79,0.83,0,Yes
1144261,8,2,0,0,78,0,0.81,0.73,0,No
1144326,0,3,0,0,78,0,0.86,0.69,0,No
1144327,0,2,0,0,78,0,0.9,0.88,0,Yes
1144351,278,9,140,81,78,0,0.86,0.94,0,No
1144352,7,8,0,0,78,3,0,0,0,Yes
1144353,0,8,0,0,78,0,0.95,0.97,0,No
1144885,83,8,0,1,78,0,0.85,0.82,0,No
1144886,-98,8,1,3,78,0,0.84,0.71,98,Yes
1145042,191,8,22,91,78,0,0.98,0.97,0,No
1145043,0,8,0,0,78,0,0.94,0.93,0,Yes
1145044,39,4,19,0,78,0,0.77,0.8,0,No
1145091,0,8,0,0,78,0,0.99,0.96,0,No
1145092,2,8,0,9,78,0,0.77,0.74,0,Yes
1145093,90,2,45,19,78,0,0.75,0.74,0,No
1145103,13,4,6,0,78,0,0.96,0.83,0,No
1145104,15,2,0,0,78,0,0.92,0.85,0,Yes
1145105,32,2,0,2,78,0,0.84,0.81,0,No
1145146,6,9,0,2,78,0,-99,-99,0,No
1145147,0,8,0,0,78,0,0.85,0.95,0,Yes
1145148,133,4,0,30,78,0,1,0.71,0,No
1145292,81,12,2,15,78,0,0.98,0.96,0,No
1145293,0,8,0,0,78,0,1,0.99,0,Yes
1145294,-10,2,30,0,78,0,0.88,0.91,10,No
1145372,-1,8,0,0,78,0,0.47,0.62,1,Yes
1145373,79,5,10,31,78,9,0.77,0.68,0,No
1145446,0,9,0,0,78,0,0.69,0.68,0,No
1145447,3,8,0,1,78,0,0.97,0.94,0,Yes
1145448,79,8,0,1,78,0,0.88,0.92,0,No
1145470,0,8,0,1,78,0,0.88,0.87,0,Yes
1145471,247,8,0,0,78,0,0.98,0.99,0,No
1145630,525,8,67,163,78,0,0.96,0.92,0,No
1145632,46,8,0,5,78,0,0.91,0.9,0,No
1146002,3,8,0,1,78,0,0.1,0.13,0,No
1146003,1,2,0,0,78,0,0.9,0.88,0,Yes
1146004,2,12,0,0,78,0,0.82,0.79,0,No
1146009,0,4,0,1,78,0,0.77,0.8,0,No
1146010,0,3,0,14,78,0,0.03,0.1,0,Yes
1146011,29,2,0,1,78,0,0.66,0.43,0,No
1146138,0,2,15,0,78,0,0.26,0.32,0,No
1146139,0,8,0,0,78,0,0.46,0.35,0,Yes
1146140,96,3,0,0,78,0,0.94,0.91,0,No
1146174,21,8,0,2,78,0,0.82,0.89,0,No
1146175,0,2,0,0,78,0,0.14,0.57,0,Yes
1146176,3,2,0,0,78,0,0.56,0.56,0,No
1146202,6,8,0,1,78,0,-99,-99,0,No
1146203,0,8,0,2,78,0,0.84,0.78,0,Yes
1146204,3,3,0,0,78,0,0.94,0.91,0,No
1146364,137,2,97,47,78,0,1,1,0,No
1146365,1,8,0,0,78,0,0.81,0.83,0,Yes
1146366,68,8,0,2,78,0,0.94,0.84,0,No
1146603,3,8,0,0,78,0,1,0.99,0,No
1146604,0,2,0,0,78,0,0.59,0.62,0,Yes
1146605,7,2,0,1,78,0,0.94,0.97,0,No
1146635,6,9,0,0,78,0,1,1,0,No
1146636,-1,2,0,0,78,0,0.11,0.07,1,Yes
1146637,115,4,0,0,78,0,0.77,0.8,0,No
1146638,1,9,0,0,78,0,0.34,0.41,0,No
1146752,109,2,0,0,78,0,0.95,0.95,0,No
1146753,11,2,0,0,78,0,0.82,0.89,0,Yes
1146754,82,2,0,0,78,0,1,0.99,0,No
1146844,134,2,0,18,78,0,0.66,0.6,0,No
1146845,0,2,0,0,78,0,0.46,0.35,0,Yes
1147139,173,8,0,0,78,0,0.98,0.97,0,No
1147140,1,8,0,1,78,0,0.96,0.94,0,Yes
1147141,73,12,3,19,78,0,0.98,0.95,0,No
1147214,380,52,50,35,78,0,0.86,0.89,0,No
1147215,-29,8,0,69,78,0,0.99,0.99,29,Yes
1147216,25,2,0,7,78,0,0.81,0.83,0,No
1147280,7,8,0,7,78,0,0.98,0.99,0,Yes
1147281,0,8,0,0,78,0,0.99,0.96,0,No
1147480,33,8,3,0,78,0,1,0.87,0,No
1147481,0,12,0,0,78,0,0.82,0.79,0,Yes
1147498,12,8,0,22,78,0,0.86,0.88,0,No
1147499,-1,9,0,0,78,0,0.67,0.8,1,Yes
1147500,4,8,0,0,78,0,0.97,0.97,0,Yes
1147501,11,2,0,0,78,0,0.48,0.53,0,No
1147592,23,2,0,0,78,0,1,0.96,0,Yes
1147593,87,2,0,0,78,0,0.98,0.95,0,No
1147750,10,2,0,0,78,0,0.39,0.17,0,No
1147751,0,9,0,0,78,0,0.69,0.68,0,Yes
1147752,36,2,0,1,78,0,0.92,0.86,0,No
1147821,2,8,0,1,78,0,0.1,0.13,0,No
1147822,3,2,0,0,78,0,0.78,0.82,0,Yes
1147823,11,2,0,1,78,0,1,1,0,No
1147952,2,2,0,0,78,6,0.94,0.96,0,No
1147953,0,2,0,0,78,0,0.98,0.95,0,Yes
1147954,5,2,0,0,78,0,1,0.99,0,No
1147960,34,2,0,10,78,0,0.97,0.96,0,No
1147961,0,2,0,0,78,0,0.74,0.55,0,Yes
1147962,4,4,0,1,78,0,0.76,0.53,0,No
1148212,16,4,0,0,78,0,0.77,0.8,0,No
1148213,0,2,0,1,78,0,0.07,0.07,0,Yes
1148214,13,4,0,0,78,0,0.77,0.8,0,No
1148215,44,4,0,0,78,0,0.77,0.8,0,No
1148266,5,8,0,1,78,0,0.79,0.66,0,No
1148267,9,12,0,9,78,0,0.69,0.68,0,Yes
1148268,16,52,0,0,78,0,0.61,0.62,0,No
1148269,2,2,0,0,78,0,0.99,0.98,0,No
1148270,17,9,0,1,78,0,0.91,0.74,0,No
